ShortName	Unit_ID	PlantID	max	lonAdj	ladAdj
MONTICEL	399213	75963	22.74	-122.0625	38.4375
MORMO_HY	399246	75979	24.6	-111.4375	33.5625
MORONY	399248	75980	302.19	-110.9375	47.6875
MOSSYROC	399289	75994	147.08	-122.4375	46.5625
MOYIESPR	399314	76007	324.44	-116.1875	48.6875
MUCKVALL	399322	76014	20.9	-121.1875	40.9375
MYSTICLA	399365	76032	3.25	-109.6875	45.3125
NACIMIEN	399406	76074	20.48	-120.9375	35.9375
NARROWS(	399439	76085	116.72	-121.3125	39.1875
NEWHOGAN	399564	76133	41.01	-120.9375	38.1875
NEWMELON	399574	76139	54.84	-120.5625	37.9375
NEWHALEM	399620	76159	109.44	-121.3125	48.6875
NIMBUS	399661	76182	118.91	-121.3125	38.5625
NINEMILE	399664	76185	213.27	-117.5625	47.8125
NFORKOR	399695	76217	87.58	-122.3125	45.3125
NFORKCO	399696	76218	4.76	-105.5625	39.4375
OKGRVHY	399826	76277	40.92	-122.0625	45.0625
OLSEN	399952	76328	185.14	-122.3125	40.8125
ONEIDA	399962	76331	45.36	-111.6875	42.3125
OXBOW(CA	400143	76388	41.45	-120.8125	38.9375
PECHEADW	400174	76404	10.72	-119.3125	46.9375
PHP2(BUL	400175	76407	4687.88	-122.1875	45.5625
PACKWOOD	400200	76429	43.51	-121.6875	46.5625
PALISACO	400211	76439	134.93	-108.3125	39.1875
PALISAID	400215	76441	169.9	-111.3125	43.4375
PARKER(C	400272	76476	4.21	-120.1875	37.3125
PELTONRE	400375	76521	119.52	-121.1875	44.8125
PINEFLAT	400524	76589	59.62	-119.4375	36.8125
PIONEER	400554	76606	31.24	-111.9375	41.1875
PIT1	400564	76611	63.54	-121.5625	40.9375
PIT3	400566	76612	74.14	-121.8125	40.9375
PIT4	400570	76613	77.5	-121.9375	40.9375
PIT5	400571	76614	77.5	-121.9375	40.9375
PIT6	400575	76615	90.81	-122.0625	40.8125
PIT7	400577	76616	90.81	-122.0625	40.8125
POE	400645	76655	74.82	-121.4375	39.6875
PORTAL	400748	76696	43.58	-119.1875	37.4375
POSTFALL	400756	76703	185.72	-117.0625	47.6875
POTTERVA	400783	76713	35.99	-123.1875	39.4375
PRIESTRA	400864	76743	2573.67	-119.9375	46.6875
ORPROSP1	400894	76753	47.29	-122.5625	42.6875
ORPROSP3	400896	76755	18.54	-122.4375	42.6875
QUINCYCH	400953	76785	0.56	-119.8125	47.1875
RCKIRKWO	400964	76792	27.18	-119.8125	37.9375
RAINBOW(	400976	76805	295.06	-111.3125	47.4375
RALSTON	400987	76810	41.45	-120.8125	38.9375
REDMOUNT	401058	76837	2.83	-117.3125	33.3125
RIOBRAVO	401161	76900	19.54	-119.1875	35.3125
RIVERMIL	401181	76911	90.74	-122.4375	45.3125
ROBBSPEA	401207	76935	20.46	-120.4375	38.8125
ROCKCRK	401230	76950	73.41	-121.4375	39.8125
ROCKCRKL	401234	76954	30.61	-120.8125	38.8125
ROCKISLA	401236	76955	2559.74	-120.0625	47.3125
ROCKYREA	401295	76975	2558.41	-120.3125	47.4375
YELLOWTA	401347	77001	164.32	-107.9375	45.3125
YALE	401370	77013	117.58	-122.4375	45.9375
WYNOOCHE	401376	77017	41.69	-123.6875	47.0625
WOODWARD	401404	77036	56.09	-120.8125	37.8125
WOODLEAF	401412	77040	82	-121.3125	39.5625
WISE	401449	77058	79.05	-121.0625	38.8125
WLLMSFHY	401535	77098	25.21	-106.3125	40.0625
WHITERCA	401580	77127	30.61	-120.8125	38.8125
WHISKEYT	401594	77137	274.19	-122.3125	40.4375
WELLS(WA	401733	77217	2394.65	-119.9375	47.9375
WEBER	401760	77228	31.24	-111.9375	41.1875
WANAPUM	401893	77298	2573.53	-119.9375	46.8125
WALTERVI	401908	77300	299.82	-122.9375	44.0625
VOLTA1	401993	77349	19.03	-121.9375	40.4375
VERDI	402065	77386	20.93	-119.9375	39.5625
VENICE(C	402068	77388	391	-118.4375	33.9375
VALLEYVI	402119	77404	40.5	-117.9375	33.8125
VALLECIT	402123	77408	12.26	-107.6875	37.3125
UPPERPOW	402165	77439	230.02	-112.0625	43.5625
UPPERMOL	402166	77440	8.75	-107.9375	39.1875
UPPERFAL	402167	77444	196.79	-117.4375	47.6875
UPPERBEA	402168	77446	2.28	-112.6875	38.3125
UPPERBAK	402170	77448	362.72	-121.8125	48.5625
UNIONVAL	402238	77487	24.12	-120.5625	38.8125
TWINFAWA	402284	77527	79.28	-121.8125	47.5625
TURLOCKL	402320	77540	69.45	-120.6875	37.6875
TULE	402342	77549	4.6	-118.8125	36.0625
TOWAOC	402433	77588	10.66	-108.5625	37.5625
TOKETEE	402454	77607	30.98	-122.4375	43.3125
TIGERCRE	402484	77621	28.32	-120.5625	38.4375
THOMPSON	402510	77637	545.31	-115.4375	47.6875
THRMLTOD	402536	77645	178.9	-121.6875	39.4375
DALLES(T	402572	77653	4480.83	-121.1875	45.5625
TESLA	402587	77663	0.36	-104.8125	38.9375
TERMINUS	402590	77666	17.5	-119.0625	36.3125
TEMESCAL	402601	77680	30.19	-117.6875	33.8125
TACOMA	402658	77713	22	-107.8125	37.4375
SWIFT2	402683	77737	111.5	-122.3125	45.9375
SWIFT1	402684	77738	111.5	-122.3125	45.9375
SULLIVAN	402737	77772	87.58	-122.3125	45.3125
SUGARLOA	402747	77774	7.9	-106.3125	39.1875
STONYGOR	402777	77795	9.69	-122.4375	39.6875
STEWARTM	402816	77815	24.6	-111.4375	33.5625
STANISLA	402882	77852	45.98	-120.3125	38.1875
STAMPEDE	402889	77855	19.77	-120.0625	39.4375
SPRGCKHY	402973	77896	238.01	-122.4375	40.5625
SPRTMTHY	402977	77901	53.68	-109.0625	44.5625
SPAULD3	402988	77911	20.93	-120.6875	39.3125
SPAULD2	402989	77912	20.93	-120.6875	39.3125
SPAULD1	402990	77913	20.93	-120.6875	39.3125
SPANISHF	403002	77917	15.94	-111.6875	40.1875
SOUTHFOR	403076	77959	19.2	-121.4375	47.4375
SOUTH(CA	403097	77972	19.03	-121.9375	40.4375
SODASPRI	403119	77989	37.77	-122.5625	43.3125
SODA	403130	77993	42.86	-111.8125	42.5625
SNWQLM2	403135	77995	84.31	-121.9375	47.5625
SNWQLM1	403137	77996	84.31	-121.9375	47.5625
SMITHFAL	403176	78010	343.14	-116.5625	48.9375
SLYCREEK	403186	78019	38.27	-121.0625	39.5625
SLIDECRE	403191	78022	37.77	-122.5625	43.3125
SLATECRE	403197	78024	185.14	-122.3125	40.8125
SHOSHOID	403250	78063	262.15	-114.4375	42.5625
SHOSHOCO	403252	78065	107.12	-107.3125	39.5625
SHASTA(B	403325	78102	358.32	-122.1875	40.3125
SEMINOE	403371	78126	74.3	-106.9375	42.1875
SANTAAN3	403474	78184	9.6	-117.1875	34.0625
SANTAAN1	403477	78186	4.24	-117.0625	34.0625
SANDBARP	403485	78192	31.48	-120.1875	38.1875
SANJOAQ3	403500	78202	66.47	-119.5625	37.1875
SANJOAQ2	403501	78203	66.47	-119.5625	37.1875
SANGABRI	403507	78211	11.78	-118.1875	34.0625
SANFRAN1	403513	78214	0.63	-118.5625	34.5625
SALTSPRI	403546	78232	22.38	-120.3125	38.4375
RYAN(MTP	403644	78294	301.62	-111.0625	47.5625
RUSHCREE	403662	78305	4.61	-119.0625	37.6875
RUEDI	403671	78308	23.05	-106.9375	39.3125
ROUNDBUT	403679	78315	102.02	-121.1875	44.6875
ROSS	403693	78320	95.07	-121.1875	48.6875
ROOSEVEL	403702	78325	26.58	-111.1875	33.6875
EXCHEQUE	403720	385578	45.33	-120.3125	37.5625
ROLLINS	403757	385811	31.6	-120.9375	39.0625
SWANFALL	443187	77742	319.07	-116.4375	43.1875
MINIDOKA	445417	75883	264.19	-113.4375	42.6875
MONROEST	445718	75949	196.79	-117.4375	47.6875
BOULDERL	586116	73680	4.23	-105.3125	40.0625
GROSSHYD	586328	74739	4.23	-105.3125	40.0625
IRRICAN	588494	587595	0	-113.0625	49.4375
CASCADEH	588641	587697	46.66	-118.1875	48.9375
ARROWROC	588667	587714	68.92	-115.9375	43.5625
DUNVEGAN	588746	587772	0	-118.5625	55.9375
TIBER	589006	587965	37.84	-111.0625	48.3125
FORRESTK	589115	588038	0	-130.6875	56.8125
UPPERMAM	589172	588075	0	-122.9375	49.8125
RUTHERFO	589196	588090	0	-122.6875	50.3125
KWOIEKCR	589518	588295	0	-121.5625	50.1875
NEWFELT	592993	76127	19.95	-111.1875	43.8125
FTHILLCO	593108	74289	1.37	-104.9375	39.4375
BOULDERC	593114	73284	4.23	-105.3125	40.0625
KEMANO	608077	608076	0	-127.8125	53.6875
ARROWLAK	608091	623245	1173.61	-117.6875	49.3125
HYSTADCR	608094	608093	25.62	-119.1875	52.8125
SPILLIMA	608096	608095	73.34	-116.4375	50.9375
STAVEFAL	608098	608097	0	-122.3125	49.3125
STRATHCO	608101	608100	0	-125.5625	50.0625
WAHLEACH	608104	608103	0	-121.6875	49.3125
WALTERHA	608106	608105	516.74	-118.0625	50.8125
WHATSHAN	608109	608108	616.33	-118.0625	49.8125
PEACECAN	608126	608125	0	-121.9375	56.0625
PUNTLEDG	608129	608128	0	-124.9375	49.6875
REVELSTO	608131	608130	498.22	-118.1875	50.9375
RUSKIN	608136	608135	0	-122.3125	49.3125
SETON	608140	608139	0	-121.8125	50.6875
SEVENMIL	608142	608141	1896.31	-117.5625	49.0625
SHUSWAP	608146	608145	0	-119.1875	50.9375
JOHNHART	608152	608151	0	-125.3125	50.0625
JORDANRI	608159	608158	3.83	-123.9375	48.4375
KOOTENAY	608161	608160	542.02	-117.5625	49.4375
LADOREFA	608166	608165	0	-125.3125	50.0625
LAJOIE	608169	608168	0	-122.8125	50.8125
MICA	608171	608170	335.78	-118.5625	52.0625
BUNTZEN1	608177	608176	0	-122.8125	49.4375
BUNTZEN2	608179	608178	0	-122.8125	49.4375
CHEAKAMU	608182	608181	0	-123.3125	50.0625
CLOWHOM	608185	608184	0	-123.4375	49.8125
ELKO(BC)	608187	608186	184.04	-115.1875	49.1875
FALLSRIV	608190	608189	0	-129.6875	54.0625
GORDONMS	608193	608192	0	-122.1875	56.0625
CORRALIN	608204	608203	542.02	-117.5625	49.4375
SSLOCAN	608206	608205	542.02	-117.5625	49.4375
WANETA	608209	588069	1897.57	-117.6875	48.9375
ABERFELD	608214	608213	124.65	-115.4375	49.4375
ALOUETTE	608217	608216	0	-122.3125	49.3125
ASHRIVER	608219	608218	0	-125.0625	49.4375
BRDGRVR1	608221	608220	0	-122.1875	50.8125
BRDGRVR2	608226	608225	0	-122.6875	50.8125
LBONNING	608238	608237	542.02	-117.5625	49.4375
UBONNING	608242	608241	542.02	-117.5625	49.4375
BRILLIAN	608248	587855	1173.61	-117.6875	49.3125
BIGHORN	608269	608268	0	-116.3125	52.3125
BRAZEAU	608274	608273	0	-115.4375	52.9375
CHINCHUT	608331	608330	0	-112.3125	49.6875
RAYMONDR	608333	608332	0.05	-112.6875	49.3125
TAYLORCH	608384	608383	0	-112.8125	49.4375
DICKSOND	608404	608403	0	-114.0625	52.0625
MEARSHYD	613314	613313	0	-126.1875	49.9375
SPRAY	613727	613726	0	-115.3125	51.1875
THREESIS	613775	613773	0	-115.3125	51.0625
RUNDLE	613783	613779	0	-115.3125	51.1875
POCATERR	613789	613786	0	-115.0625	50.8125
KANANASK	613794	613792	0	-114.9375	51.1875
INTERLAK	613799	613797	1.07	-115.0625	50.5625
