name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Cascade2_2,Hydro,18,18,18,18,18,18,18,18,18,18,18,18
Castaic_7,Hydro_ZeroK,55,55,55,55,55,55,55,55,55,55,55,55
Cedar_Draw_1,Hydro_FixedDispatch,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952
Cedar_Falls_5,Hydro,15,15,15,15,15,15,15,15,15,15,15,15
Cedar_Falls_6,Hydro,15,15,15,15,15,15,15,15,15,15,15,15
Centerville1,Hydro_FixedDispatch,3.970000029,1.529999971,2.140000105,4.590000153,4.380000114,4.699999809,4.639999866,3.75,4.78000021,3.599999905,2.670000076,2.059999943
Centerville2,Hydro_FixedDispatch,0.649999976,0.25,0.349999994,0.75,0.720000029,0.769999981,0.75999999,0.610000014,0.779999971,0.589999974,0.439999998,0.340000004
Chandler_1,Hydro_ZeroK,6,6,6,6,6,6,6,6,6,6,6,6
Chandler_2,Hydro_ZeroK,6,6,6,6,6,6,6,6,6,6,6,6
Cheakamus_1,Hydro,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366
Cheakamus_2,Hydro,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366
Chelan_A_1,Hydro_ZeroK,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183
Chelan_A_2,Hydro_ZeroK,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183,41.33000183
Chicago_Park_2P,Hydro_FixedDispatch,28.89999962,26.39999962,29.48999977,29.15999985,30.07999992,29.22999954,28.29000092,30.70000076,29.46999931,32.63000107,25.17000008,26.11000061
ChiefJoseph01,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph02,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph03,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph04,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph05,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph06,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph07,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph08,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph09,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph10,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph11,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph12,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph13,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
