productionRank,Name,Power_Model_1_true_0_false_,lat_1_8_,lon_1_8_,nameplate_MW_,annualProduction_MWh_,lat,long,ROR,Units,Pump,Reservoir,alpha,Slope_NID,Slope_Grand,Head_NID_m_,Storage_m3_,ID,BA,HUC2
77,'Parker_Dam_1',1,34.3125,-114.1875,120,410960,34.29605,-114.14036,1,4,0,0,0.05,0.008345823,9999,24.384,222026400,447,WALC,15
78,'Stanislaus_HC1',1,38.1875,-120.3125,91,406261,38.1461,-120.3547,1,1,0,0,0.05,0.014104233,9999,16.764,394713.6,285,CIPV,18
79,'Ryan1',1,47.5625,-111.0625,66.4,405656,47.56991,-111.12261,1,8,0,0,0.05,0.007599349,9999,23.1648,4505902.44,2194,NWMT,10
80,'Trinity_1',1,40.8125,-122.8125,140,402381,40.79673,-122.76083,0,2,0,1,0.05,0.004645483,0.021172309,139.5984,3405477928,451,BANC,18
81,'Keswick_1',1,40.5625,-122.4375,117,394023,40.612,-122.44514,1,3,0,0,0.05,0.007675672,9999,36.8808,30999819.36,443,BANC,18
82,'Exchequer',1,37.5625,-120.3125,94.5,393737,37.58413,-120.27237,1,1,0,0,0.05,0.006397027,9999,133.1976,1356828000,409,CIPV,18
83,'BigCreek2-3',1,37.1875,-119.1875,66.4,391606,37.232666,-119.146428,0,4,0,1,0.05,0.002713402,0.006713171,36.576,110766504,318,CISC,18
84,'FlamingGorge1',1,40.9375,-109.4375,151.95,386817,40.9149,-109.4219,0,3,0,1,0.05,0.003477265,0.019752215,136.5504,4937743788,6405,WACM,15
85,'Pelton_1',1,44.6875,-121.1875,109.8,381388,44.69398,-121.23115,0,3,0,1,0.05,0.010106764,0.008004166,59.436,39224664,3048,PGE,17
86,'Summer_Falls1',1,47.4375,-119.3125,94,372844,47.456531,-119.283692,0,2,0,1,0.05,0.003987158,0.005163978,5.7912,26100000,56695,TPWR,17
87,'BigCreek8-1',1,37.1875,-119.4375,75,372307,37.144075,-119.449278,0,2,0,1,0.05,0.013069423,0.009166061,75.5904,43200000,321,CISC,18
88,'Pit_6_H1',1,40.9375,-121.9375,79,371282,40.927345,-121.975954,1,2,0,0,0.05,0.013357765,9999,53.9496,19612332,269,CIPV,18
89,'Merwin_1',1,45.9375,-122.5625,135,362892,45.95662,-122.55691,1,3,0,0,0.05,0.005272793,9999,70.104,520528560,3847,PACW,17
90,'NewMelones1',1,37.9375,-120.5625,300,355060,37.950885,-120.522215,1,2,0,0,0.05,0.005705051,9999,187.1472,3540087600,6158,CIPV,18
91,'Spring_Creek_1',1,40.6875,-122.4375,191.6,352204,40.665796,-122.462138,1,2,0,0,0.05,9999,9999,60.96,0,450,CIPV,18
92,'Tiger_Creek_H1',1,38.4375,-120.5625,56,339370,38.4413,-120.5051,1,2,0,0,0.05,0.015915931,9999,31.02864,3219382.8,287,CIPV,18
93,'Donnells',1,38.3125,-119.9375,72,329919,38.3302,-119.9613,0,1,0,1,0.05,0.013693443,0.012522646,94.488,80200000,415,CIPV,18
94,'Chelan_A_1',1,47.8125,-120.0625,59.2,323858,47.83426,-120.01229,1,2,0,0,0.05,0.000403358,9999,17.3736,833955828,6424,CHPD,17
95,'Belden_1',1,40.0625,-121.1875,119,316308,40.0757,-121.1612,0,1,0,1,0.05,0.023276623,0.004131182,37.7952,61400000,219,CIPV,18
96,'Yale1',1,45.9375,-122.3125,134,316232,45.96559,-122.33517,0,2,0,1,0.05,0.005663321,0.012651746,94.1832,495900000,3852,PACW,17
97,'CastaicInflowHydro',1,34.5625,-118.6875,99,310757,34.553193,-118.668136,0,1,1,1,0.05,0.009704737,0.007100469,51.816,40088100,392,LDWP,18
98,'Woodleaf',1,39.5625,-121.0625,60,308346,39.5826,-121.1155,0,1,0,1,0.05,0.011860687,0.010715254,79.248,80977962,419,CIPV,18
99,'H_M_Jackson_1',1,47.9375,-121.6875,111.8,303260,47.9746,-121.6868,0,4,0,1,0.05,0.005964297,0.010327956,73.7616,238604371.2,7588,BPAT,17
100,'Lower_Baker_3',1,48.6875,-121.6875,111.75,296319,48.66269,-121.688449,0,2,0,1,0.05,0.007781382,0.010844353,84.4296,200600000,3855,PSEI,17
101,'Upper_Baker_1',1,48.6875,-121.6875,104.8,295232,48.720575,-121.631078,0,2,0,1,0.05,0.006509715,0.004518481,92.6592,352100000,3861,PSEI,17
102,'Ralston',1,38.9375,-120.8125,89.5,291212,38.987168,-120.773526,1,1,0,0,0.05,0.009850155,9999,24.0792,3429074.4,427,CIPV,18
103,'Bliss1',1,42.9375,-115.0625,75,287706,42.91382,-115.07113,1,3,0,0,0.05,0.011169801,9999,40.8432,10379734.2,810,IPMV,17
104,'SanFrancisq1_1A',1,34.5625,-118.5625,69.38,279757,34.5302,-118.5234,0,4,0,1,0.05,0.06938578,0.013426342,30.48,399300000,6479,LDWP,18
105,'Cresta_1',1,39.9375,-121.3125,70.4,277212,39.8805,-121.3702,1,2,0,0,0.05,0.011547765,9999,34.4424,5106607.2,231,CIPV,18
106,'Morrow_Point_1',1,38.4375,-107.5625,173.34,276712,38.4519,-107.538,0,2,0,1,0.05,0.017983059,0.018461221,121.92,149590287,514,WACM,15
107,'Detroit_1',1,44.6875,-122.1875,100,266600,44.706366,-122.222076,0,2,0,1,0.05,0.009135793,0.018203022,110.9472,561233400,3077,BPAT,17
108,'Cushman1-21',1,47.4375,-123.1875,43.2,263848,47.42385,-123.22027,0,2,0,1,0.05,0.003982639,0.010198856,76.2,595500000,3914,TPWR,17
109,'Judge_F_Carr_1',1,40.6875,-122.5625,171.2,260490,40.643949,-122.576466,0,2,0,1,0.05,0.005574521,0.011102552,80.1624,340584797.2,442,BANC,18
110,'Cochrane_COC1',1,47.5625,-111.1875,64,259334,47.55377,-111.14904,1,2,0,0,0.05,0.007233968,9999,30.48,10440174.72,2182,NWMT,10
111,'Canyon_Ferry_1',1,46.6875,-111.8125,49.8,258453,46.64845,-111.72828,1,3,0,0,0.05,0.001457711,9999,52.4256,2529867480,6400,NWMT,10
112,'Drum_2_5',1,39.3125,-120.8125,50,251903,39.2544,-120.7749,1,1,0,0,0.05,0.033496795,9999,29.8704,420616.68,236,CIPV,18
113,'Holter_HOL1',1,46.9375,-111.9375,38.4,251408,46.99106,-112.0046,0,4,0,1,0.05,0.001544018,0.004905779,36.576,377444880,2186,NWMT,10
114,'Morony_MOR1',1,47.5625,-111.0625,45,251366,47.58247,-111.06052,1,2,0,0,0.05,0.005809257,9999,28.3464,17131803.72,2191,NWMT,10
115,'W_R_Gianelli_1',1,37.0625,-121.0625,424,242270,37.091669,-121.041286,0,8,8,1,0.05,0.002005935,0.014975536,18.5928,2419300000,448,CIPV,18
116,'CabinCreekA',1,39.6875,-105.6875,300,242162,39.65,-105.7189,1,2,2,0,0.05,0.044368335,9999,64.008,2220264,467,PSCO,10
117,'Salt_Springs_1',1,38.4375,-120.1875,44,240375,38.49794,-120.21818,0,2,0,1,0.05,0.009750952,0.013039044,71.84136,175154160,279,CIPV,18
118,'Rainbow9',1,47.5625,-111.1875,60,232735,47.5346,-111.2041,1,1,0,0,0.05,0.005133039,9999,12.8016,1525814.76,2193,NWMT,10
119,'Prospect2-1',1,42.8125,-122.5625,32,230702,42.776257,-122.533972,1,2,0,0,0.05,0.011893734,9999,16.764,555066,3033,PACW,17
120,'KingsRiverHY',1,36.8125,-119.3125,51.2,230372,36.8316,-119.325,0,1,0,1,0.05,0.005708992,0.017299326,129.2352,1233500000,254,CISC,18
121,'Thermalito_1',1,39.4375,-121.6875,142.72,227414,39.4771,-121.6871,0,4,3,1,0.05,0.000630789,0.001549193,9.6012,70358932.68,438,CIPV,18
122,'LuckyPeak131',1,43.5625,-116.0625,71.25,226234,43.52793,-116.05348,0,3,0,1,0.05,0.006998897,0.013426342,72.2376,378700000,10014,IPTV,17
123,'AmericanFalls1',1,42.8125,-112.9375,92.34,225771,42.7788,-112.87579,0,3,0,1,0.05,9999,0.004131182,28.6512,2061500000,809,IPFE,17
124,'Pit_1_H1',1,41.0625,-121.4375,64,223500,41.0082,-121.4482,1,2,0,0,0.05,0.003460765,9999,10.668,3961937.76,265,CIPV,18
125,'Swift_2_21',1,46.0625,-122.3125,70,219808,46.05953,-122.26011,1,2,0,0,0.05,0.016466014,9999,19.2024,3083700,6265,PACW,17
126,'Horse_Mesa_HM1',1,33.5625,-111.3125,140.7,216320,33.58962,-111.34541,0,4,1,1,0.05,0.006445126,0.012006248,82.9056,322351495.8,145,SRP,15
127,'Forbestown_1',1,39.5625,-121.3125,39,212895,39.56046,-121.27261,1,1,0,0,0.05,0.024034585,9999,24.384,434184.96,417,CIPV,18
128,'W_E_Warne_1',1,34.6875,-118.8125,78.2,210448,34.6443,-118.7643,0,2,0,1,0.05,0.012967345,0.016653828,115.824,210925080,6196,CIPV,18
129,'BlueMesa1',1,38.4375,-107.3125,86.4,208630,38.4547,-107.33472,0,2,0,1,0.05,0.004911926,0.015362834,104.2416,1160334636,512,WACM,15
130,'Bucks_Creek_H1',1,39.9375,-121.1875,59,198844,39.9012,-121.2283,0,2,0,1,0.05,0.007971045,0.004776679,27.1272,127000000,220,CIPV,18
131,'AlbeniFalls1',1,48.1875,-117.0625,42.6,197343,48.18,-117,0,3,0,1,0.05,0.001389947,0.007100469,27.432,1424700000,851,BPAT,17
132,'Lower_Salmon_1',1,42.8125,-114.9375,60,196440,42.84195,-114.90444,0,4,0,1,0.05,0.002390321,0.004389381,14.3256,13444932,816,IPMV,17
133,'Snoqualmie2-6Repower',1,47.5625,-121.8125,40.7,191229,47.54047,-121.83662,1,2,0,0,0.05,0.001791159,9999,5.7912,1008986.64,7867,PSEI,17
