plexos_name,grid_id
Sullivan_1,75190
Sullivan_10,75190
Sullivan_11,75190
Sullivan_12,75190
Sullivan_13,75190
Sullivan_2,75190
Sullivan_3,75190
Sullivan_4,75190
Sullivan_5,75190
Sullivan_6,75190
Sullivan_7,75190
Sullivan_8,75190
Sullivan_9,75190
Summer_Falls1,83102
Summer_Falls2,83102
Swan_Falls_1,67349
Swan_Falls_2,67349
Swift_2_21,77974
Swift_2_22,77974
Tacoma_1,46074
Tacoma_2,46074
Taylor_Draw,55810
Tesla_1,51666
The_Dalles_1,76127
The_Dalles_10,76127
The_Dalles_11,76127
The_Dalles_12,76127
The_Dalles_13,76127
The_Dalles_14,76127
The_Dalles_15,76127
The_Dalles_16,76127
The_Dalles_17,76127
The_Dalles_18,76127
The_Dalles_19,76127
The_Dalles_2,76127
The_Dalles_20,76127
The_Dalles_21,76127
The_Dalles_22,76127
The_Dalles_3,76127
The_Dalles_4,76127
The_Dalles_5,76127
The_Dalles_6,76127
The_Dalles_7,76127
The_Dalles_8,76127
The_Dalles_9,76127
The_Dalles_F1,76127
The_Dalles_F2,76127
ThermalitoDiverson,53387
Thompson_Falls1,83598
Thompson_Falls2,83598
Thompson_Falls3,83598
Thompson_Falls4,83598
Thompson_Falls5,83598
Thompson_Falls6,83598
Thompson_Falls7,83598
ThousandSpring1,65969
ThousandSpring2,65969
ThousandSpring3,65969
Three_Sisters_1,NA
TietonDamHydroUNIT1,80304
TietonDamHydroUNIT2,80304
Tiger_Creek_H1,49684
Tiger_Creek_H2,49684
Tipella1,NA
Tipella2,NA
Trinity_1,58482
Trinity_2,58482
Tulare_Success,40882
Tunnel,68734
Turlock_Lake_1,46899
Turlock_Lake_2,46899
Turlock_Lake_3,46899
Twin_Falls1,83546
Twin_Falls_1,65045
Twin_Falls2,83546
Twin_Falls_2,65045
Tyson_Creek_1,NA
U_Bonnington_1,NA
U_Bonnington_2,NA
U_Bonnington_3,NA
U_Bonnington_4,NA
U_Bonnington_5,NA
U_Bonnington_6,NA
Union_Valley_1,51077
Upper_Baker_1,87723
Upper_Baker_2,87723
Upper_Beaver_1,49283
Upper_Beaver_2,49283
Upper_Clowhom_1,NA
Upper_Falls_1,84045
UpperGorge1,45988
Upper_Malad_1,65969
Upper_Mamquam_1,NA
Upper_Mamquam_2,NA
Upper_Molina_1,52569
UpperPwr4,68776
Upper_Salmon1,65969
Upper_Salmon2,65969
Upper_Salmon3,65969
Upper_Salmon4,65969
Upper_Stave1,NA
Upper_Stave2,NA
Upper_Stave3,NA
Upper_Stave4,NA
Upriver_Dam1,84045
Upriver_Dam2,84045
Upriver_Dam3,84045
Upriver_Dam4,84045
Upriver_Dam5,84045
Vallecito1,45611
Vallecito2,45611
Vallecito3,45611
Valley_View_1,32537
Verdi_1,53865
Vestal_AreaAgg,NA
Wahleach_1,NA
Walden_North_1,NA
Walden_North_2,NA
Walden_North_3,NA
Walden_North_4,NA
Walden_North_5,NA
WalterHardman1,NA
WalterHardman2,NA
Walterville_1,70545
Waneta1,NA
Waneta2,NA
Waneta3,NA
Waneta4,NA
WarmSpringsPwr,72879
Washoe_1,53865
Washoe_2,53865
Weeks_Falls,83546
Wells01,84953
Wells02,84953
Wells03,84953
Wells04,84953
Wells05,84953
Wells06,84953
Wells07,84953
Wells08,84953
Wells09,84953
Wells10,84953
Whatshan_1,NA
WhiteRock1,51538
WhiteRock2,51538
WhitewaterHydroWWHI,32549
Williams_Fork1,55830
Williams_Fork2,55830
WilsonLake1,65047
WilsonLake2,65047
Woodward,58956
Wynoochee,81675
Yellowtail_1,75305
Yellowtail_2,75305
Yellowtail_3,75305
Yellowtail_4,75305
Yelm_1,81220
Yelm_2,81220
Yelm_3,81220
Yorba_Linda,32537
Zeballos_Lake_1,NA
Zeballos_Lake_2,NA
Zeballos_Lake_3,NA
