Generator,Data File,Multiplier
FlamingGorge3,HY_FlamGorge_2010[05].csv,Escalator0.005065
Flatiron_1,HY_FlatIron_2010[05].csv,Escalator0.0043
Flatiron_2,HY_FlatIron_2010[05].csv,Escalator0.0043
Flatiron_3,HY_FlatIron3gen_2010[05].csv,Escalator0.00085
Folsom_1,HY_Folsom_2010[05].csv,Escalator0.00717
Folsom_2,HY_Folsom_2010[05].csv,Escalator0.00717
Folsom_3,HY_Folsom_2010[05].csv,Escalator0.00717
Fontenelle_1,HY_Fontenelle_2010[05].csv,Escalator0.001
Foothill_LA,HY_Generic_2010[Keswick05].csv,Escalator0.0011
Forbestown_1,HY_SFeatherPalermo_2010[05].csv,Escalator0.0039
Forks_Butte1,HY_WestFeatherRiver_2010[05].csv,Escalator0.001247
Forks_Butte2,HY_WestFeatherRiver_2010[05].csv,Escalator0.000183
Fort_Peck_1,HY_FtPeck_2010[05].csv,Escalator0.00435
Fort_Peck_2,HY_FtPeck_2010[05].csv,Escalator0.00183
FortPeck3,HY_FtPeck_2010[05].csv,Escalator0.00435
FortSeward_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00013
Foster_1,HY_Foster_2010[05].csv,Escalator0.001
Foster_2,HY_Foster_2010[05].csv,Escalator0.001
FremontCanyon1,HY_Fremont_2010[05].csv,Escalator0.00334
FremontCanyon2,HY_Fremont_2010[05].csv,Escalator0.00334
French_Meadows,HY_MiddleForkYuba_2010[05].csv,Escalator0.0018
FriantFR1,HY_SanJoachinWishon_2010[05].csv,Escalator0.002026
FriantM1,HY_SanJoachinWishon_2010[05].csv,Escalator0.001079
FriantRO1,HY_SanJoachinWishon_2010[05].csv,Escalator0.000264
Glen_Canyon1,HY_GlenCanyon_2010[05].csv,Escalator0.0165
Glen_Canyon2,HY_GlenCanyon_2010[05].csv,Escalator0.0157
Glen_Canyon3,HY_GlenCanyon_2010[05].csv,Escalator0.0165
Glen_Canyon4,HY_GlenCanyon_2010[05].csv,Escalator0.0157
Glen_Canyon5,HY_GlenCanyon_2010[05].csv,Escalator0.0165
Glen_Canyon6,HY_GlenCanyon_2010[05].csv,Escalator0.0165
Glen_Canyon7,HY_GlenCanyon_2010[05].csv,Escalator0.0157
Glen_Canyon8,HY_GlenCanyon_2010[05].csv,Escalator0.0165
Glendo_1,HY_Glendo_2010[05].csv,Escalator0.0019
Glendo_2,HY_Glendo_2010[05].csv,Escalator0.0019
Green_Peter_1,HY_GreenPet_2010[05].csv,Escalator0.004
Green_Peter_2,HY_GreenPet_2010[05].csv,Escalator0.004
GreenMountain1,HY_GreenMt_2010[05].csv,Escalator0.0013
GreenMountain2,HY_GreenMt_2010[05].csv,Escalator0.0013
Grizzly_NA1,HY_NFeatherCaribou_2010[05].csv,Escalator0.002
Gross_Hydro,HY_Generic_2010[Keswick05].csv,Escalator0.00078
Hailey_Cspp_1,HY_Generic_2010[Keswick05].csv,Escalator0.000006
Halsey_1,HY_YubaBear_2010[05].csv,Escalator0.00135
HamiltonBranch1,HY_NFeatherCaribou_2010[05].csv,Escalator0.00024
HamiltonBranch2,HY_NFeatherCaribou_2010[05].csv,Escalator0.00024
Hatchet_Creek,HY_HatchetCrk_2010[05].csv,Escalator0.00068
HatCreek1,HY_HatCrkPit1_2010[05].csv,Escalator0.00085
HatCreek2,HY_HatCrkPit1_2010[05].csv,Escalator0.00085
HatCreekSmlAgg1,HY_HatCrkPit1_2010[05].csv,Escalator0.0002
HatCreekSmlAgg2,HY_HatCrkPit1_2010[05].csv,Escalator0.00014
HatCreekSmlAgg3,HY_HatCrkPit1_2010[05].csv,Escalator0.00005
Haypress_LGEN,HY_YubaBear_2010[05].csv,Escalator0.000938
Haypress_UGEN,HY_YubaBear_2010[05].csv,Escalator0.000938
Hell_Hole,HY_MiddleForkYuba_2010[05].csv,Escalator0.00005
Hellroaring1,HY_Generic_2010[Keswick05].csv,Escalator0.00002
Hellroaring2,HY_Generic_2010[Keswick05].csv,Escalator0.00002
HillsCreek1,HY_HillsCrk_2010[05].csv,Escalator0.0015
HillsCreek2,HY_HillsCrk_2010[05].csv,Escalator0.0015
Horse_Mesa_HM1,HY_Generic_2010[Keswick05].csv,Escalator0.00099
Horse_Mesa_HM2,HY_Generic_2010[Keswick05].csv,Escalator0.00099
Horse_Mesa_HM3,HY_Generic_2010[Keswick05].csv,Escalator0.00099
Humboldt_QF,HY_Generic_2010[Keswick05].csv,Escalator0.000005
Hungry_Horse_1,HY_HungryH_2010[05].csv,Escalator0.0107
Hungry_Horse_2,HY_HungryH_2010[05].csv,Escalator0.0107
Hungry_Horse_3,HY_HungryH_2010[05].csv,Escalator0.0107
Hungry_Horse_4,HY_HungryH_2010[05].csv,Escalator0.0107
Ice_Harbor_1,HY_IceHrbr_2010[05].csv,Escalator0.009
Ice_Harbor_2,HY_IceHrbr_2010[05].csv,Escalator0.009
Ice_Harbor_3,HY_IceHrbr_2010[05].csv,Escalator0.009
Ice_Harbor_4,HY_IceHrbr_2010[05].csv,Escalator0.0111
Ice_Harbor_5,HY_IceHrbr_2010[05].csv,Escalator0.0111
Ice_Harbor_6,HY_IceHrbr_2010[05].csv,Escalator0.0111
Idylwilde_1,HY_Generic_2010[Keswick05].csv,Escalator0.000045
Idylwilde_2,HY_Generic_2010[Keswick05].csv,Escalator0.000045
IndianValley,HY_EelRiver_2010[05].csv,Escalator0.0005
Inskip_1,HY_BattleRiver_2010[05].csv,Escalator0.0008
Irrican,HY_Irrican_2010[05].csv,Escalator0.0007
Jim_Knight_1,HY_Generic_2010[Keswick05].csv,Escalator0.000034
John_C_Boyle_1,HY_Boyle_2010[05].csv,Escalator0.005035
John_C_Boyle_2,HY_Boyle_2010[05].csv,Escalator0.004763
Jones_Fork,HY_SMUDHydro_2010[05].csv,Escalator0.00115
Judge_F_Carr_1,HY_JFCarr_2010[05].csv,Escalator0.00856
Judge_F_Carr_2,HY_JFCarr_2010[05].csv,Escalator0.00856
Kanaka_KAN1,HY_SFeatherPalermo_2010[05].csv,Escalator0.00025
Kekawaka,HY_EelRiver_2010[05].csv,Escalator0.0006
Kelly_Ridge_1,HY_Generic_2010[Keswick05].csv,Escalator0.0011
Kerckhoff_2_1,HY_Kerckhoff2_2010[05].csv,Escalator0.01539
Kerckhoff_H1,HY_Kerckhoff_2010[05].csv,Escalator0.0013
Kerckhoff_H2,HY_Kerckhoff_2010[05].csv,Escalator0.00128
Kerckhoff_H3,HY_Kerckhoff_2010[05].csv,Escalator0.00128
Kern_Canyon_1,HY_Kern_River_2010[05].csv,Escalator0.00115
KernRiver1_1,HY_KernRvr1_2010[05].csv,Escalator0.00064
KernRiver1-2,HY_KernRvr1_2010[05].csv,Escalator0.00064
KernRiver1-3,HY_KernRvr1_2010[05].csv,Escalator0.00064
KernRiver1-4,HY_KernRvr1_2010[05].csv,Escalator0.00064
KernRiver3_1,HY_KernRvr3_2010[05].csv,Escalator0.001881
KernRiver3_2,HY_KernRvr3_2010[05].csv,Escalator0.001799
Keswick_1,HY_Keswick_2010[05].csv,Escalator0.0039
Keswick_2,HY_Keswick_2010[05].csv,Escalator0.0039
Keswick_3,HY_Keswick_2010[05].csv,Escalator0.0039
Kilarc_1,HY_BattleRiver_2010[05].csv,Escalator0.00016
Kilarc_2,HY_BattleRiver_2010[05].csv,Escalator0.00016
KingsRiverHY,HY_KingsRvr_2010[05].csv,Escalator0.00512
Kohler_Hydro_1,HY_Generic_2010[Keswick05].csv,Escalator0.000008
Kohler_Hydro_2,HY_Generic_2010[Keswick05].csv,Escalator0.000008
Kortes_1,HY_Kortes_2010[05].csv,Escalator0.0012
Kortes_2,HY_Kortes_2010[05].csv,Escalator0.0012
Kortes_3,HY_Kortes_2010[05].csv,Escalator0.0012
La_Grange_1,HY_TuolumneDonPedro_2010[05].csv,Escalator0.00015
La_Grange_2,HY_TuolumneDonPedro_2010[05].csv,Escalator0.00037
LakeCreek_BPA1,HY_Generic_2010[Keswick05].csv,Escalator0.0001
LakeCreek_BPA2,HY_Generic_2010[Keswick05].csv,Escalator0.00035
Lemolo1-1,HY_Lemolo1_2010[05].csv,Escalator0.003199
Lemoyne_1,HY_Generic_2010[Keswick05].csv,Escalator0.000008
