Ref ID,Plant/Unit (Short),Plant/Unit (Long),Bus #,ID,WECC Class Code,Status in GridView Model,Resource Modeling Category,TEPPC Area,TEPPC Region,County,State,Count for RPS?,Annual Energy (MWh),GV SubType,Generator Type,Primary Fuel,Hourly Profile,Hydro Region,Hydro Model,Nameplate (MW),SumCap (MW),WinCap (MW),Fuel Zone,"Commission Date","Retirement Date",Owner,"Ownership Shares","Confidential Location?","Latitude(Red=Confidential)","Longitude(Red=Confidential)",2022 PROMOD,PLANT_CODE,GENERATOR_ID,cooling,fuel E3,reported water source,waterpowercheck,
33,Alamitos5,AES Alamitos LLC-5,24005,5,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,482,482,482,NG_CA SoCalGas,1/1/1999,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts5,315,5,Once-Through,Natural Gas,Ocean,,
34,Alamitos6,AES Alamitos LLC-6,24161,6,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,481,481,481,NG_CA SoCalGas,1/1/1966,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts6,315,6,Once-Through,Natural Gas,Ocean,,
36,HuntingtonBeach1,AES Huntington Beach LLC-1,24066,1,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Orange,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,226,226,226,NG_CA SoCalGas,6/1/1958,12/31/2020,AES Huntington Beach LLC,,No,33.647219,-117.979585,AESHuntBch1,335,1,Once-Through,Natural Gas,Ocean,,
37,HuntingtonBeach2,AES Huntington Beach LLC-2,24067,2,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Orange,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,226,226,226,NG_CA SoCalGas,12/1/1958,12/31/2020,AES Huntington Beach LLC,,No,33.647219,-117.979585,AESHuntBch2,335,2,Once-Through,Natural Gas,Ocean,,
38,HuntingtonBeach3Rtrd,RETIRED AES Huntington Beach LLC-3,24167,R3,Retired,FALSE,14.Misc Hourly,CISC,CA-South,Orange,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,None,N/A,N/A,220,220,220,NG_CA SoCalGas,7/31/2002,10/15/2012,AES Huntington Beach LLC,,No,33.647219,-117.979585,HuntBeach3,335,3,Once-Through,Natural Gas,Ocean,,
39,HuntingtonBeach4Rtrd,RETIRED AES Huntington Beach LLC-4,24168,R4,Retired,FALSE,14.Misc Hourly,CISC,CA-South,Orange,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,None,N/A,N/A,220,220,220,NG_CA SoCalGas,8/7/2003,10/31/2012,AES Huntington Beach LLC,,No,33.647219,-117.979585,HuntBeach4,335,4,Once-Through,Natural Gas,Ocean,,
40,NineCanyonWind1,Nine Canyon Wind-1,47948,Z1,0 (Existing),TRUE,1.Hourly Renewable,BPAT,NWPP,Benton,WA,Yes,120675,WT-Onshore,Wind-Onshore,Wind,WT-E_WA_SO_2024[05],N/A,N/A,48.1,48.1,48.1,DefaultFuel,9/11/2002,12/31/2050,Energy Northwest,"7.96/95.9 for ChelanPUD, 2/95.9 for CowlitzPUD, rest for BPAT",No,46.079628,-119.094819,9CWIND 1_1,7936,1,None,Wind,Unknown Freshwater,,
41,NineCanyonWind2,Nine Canyon Wind-2,47952,Z1,0 (Existing),TRUE,1.Hourly Renewable,BPAT,NWPP,Benton,WA,Yes,39138,WT-Onshore,Wind-Onshore,Wind,WT-E_WA_SO_2024[05],N/A,N/A,15.6,15.6,15.6,DefaultFuel,11/29/2003,12/31/2050,Energy Northwest,"7.96/95.9 for ChelanPUD, 2/95.9 for CowlitzPUD, rest for BPAT",No,46.079628,-119.094819,9CWIND 2_1,7936,1,None,Wind,Unknown Freshwater,,
42,NineCanyonWind3,Nine Canyon Wind-3,47956,Z1,0 (Existing),TRUE,1.Hourly Renewable,BPAT,NWPP,Benton,WA,Yes,80784,WT-Onshore,Wind-Onshore,Wind,WT-E_WA_SO_2024[05],N/A,N/A,32.2,32.2,32.2,DefaultFuel,2/1/2008,12/31/2050,Energy Northwest,"7.96/95.9 for ChelanPUD, 2/95.9 for CowlitzPUD, rest for BPAT",No,46.079628,-119.094819,9CWIND 3_1,7936,1,None,Wind,Unknown Freshwater,,
44,NevadaSolarOne,Nevada Solar One-ONE,18596,1,0 (Existing),TRUE,1.Hourly Renewable,NEVP,AZ-NM-NV,Clark,NV,Yes,252972,SolarThermal-CSP6,Solar Thermal-Storage (CSP6),Sun,CSP6_NV_WE_2024[05],N/A,N/A,75.7,75.7,75.7,DefaultFuel,7/1/2007,12/31/2050,Acciona Solar Power,,No,35.793052,-114.967205,NV Solar One,56405,ONE,Recirculating,Solar,Municipal,,
